timestamp_of_entry,timestamp_of_exit,entry_price,target_price,stop_price,type_of_exit,pnl
2019-04-02 10:52:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 10:54:00,2019-04-02 11:12:00,428800.0,429100.0,428500.0,Win,3000.0
2019-04-02 10:55:00,2019-04-02 11:12:00,428800.0,429100.0,428500.0,Win,3000.0
2019-04-02 10:56:00,2019-04-02 11:12:00,428800.0,429100.0,428500.0,Win,3000.0
2019-04-02 10:57:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 10:58:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 10:59:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:00:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:01:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:04:00,2019-04-02 11:12:00,428800.0,429100.0,428500.0,Win,3000.0
2019-04-02 11:05:00,2019-04-02 11:12:00,428800.0,429100.0,428500.0,Win,3000.0
2019-04-02 11:06:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:07:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:08:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 11:21:00,2019-04-02 11:36:00,429000.0,429300.0,428700.0,Loss,-4000.0
2019-04-02 11:25:00,2019-04-02 11:36:00,429000.0,429300.0,428700.0,Loss,-4000.0
2019-04-02 11:26:00,2019-04-02 11:36:00,429000.0,429300.0,428700.0,Loss,-4000.0
2019-04-02 11:31:00,2019-04-02 11:36:00,429000.0,429300.0,428700.0,Loss,-4000.0
2019-04-02 11:33:00,2019-04-02 11:36:00,429000.0,429300.0,428700.0,Loss,-4000.0
2019-04-02 11:34:00,2019-04-02 11:36:00,428900.0,429200.0,428600.0,Loss,-3000.0
2019-04-02 12:35:00,2019-04-02 12:41:00,428300.0,428600.0,428000.0,Loss,-3000.0
